,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5
86,0.75,0.5,0.65,0.8,0.7,0.15,0.05,0,0.05,0,,,,,,,,,,,
86,0.55,0.7,0.25,0.35,0.4,0,0.05,0.05,0.05,0,,,,,,,,,,,
87,0.35,0.6,0.6,0.45,0.55,0.2,0.2,0.25,0.4,0.3,,,,,,,,,,,
87,0.05,0.1,0.25,0.3,0.2,0,0.25,0.35,0.3,0.2,,,,,,,,,,,
87,0.15,0.45,0.3,0.45,0.35,0.45,0.35,0.65,0.35,0.45,,,,,,,,,,,
87,0.55,0.35,0.45,0.45,0.45,0.3,0.15,0.3,0.35,0.4,82,0.11,0.03,0.04,0.05,0.04,0.32,0.48,0.48,0.55,0.57
87,0.2,0.45,0.35,0.3,0.5,0.5,0.25,0.15,0.2,0,83,0.45,0.4,0.48,0.39,0.41,0.14,0.14,0.17,0.17,0.14
88,0.8,0.9,0.9,1,0.95,0.1,0.1,0.1,0,0.05,84,0.71,0.74,0.83,0.79,0.71,0.29,0.26,0.17,0.21,0.29
88,0.65,0.9,0.95,0.95,0.9,0.2,0.05,0.05,0.05,0.1,85,0.65,0.83,0.77,0.79,0.74,0.35,0.17,0.23,0.21,0.26
88,0.85,0.95,0.9,0.95,0.95,0.05,0,0.05,0.05,0,86,0.54,0.51,0.53,0.55,0.54,0.12,0.05,0.04,0.05,0
88,0.7,0.9,0.95,0.9,0.9,0.1,0.05,0.05,0.05,0.05,87,0.26,0.39,0.39,0.39,0.41,0.29,0.24,0.34,0.32,0.27
88,0.75,0.9,0.95,0.9,0.95,0.2,0.05,0,0,0,88,0.75,0.91,0.93,0.94,0.93,0.13,0.05,0.05,0.03,0.04
